Date,Price,Open,High,Low,Vol.,Change %
9/23/2022,11311.24,"11,393.59","11,400.86","11,169.83",274.74M,-1.66%
9/22/2022,11501.65,"11,579.63","11,616.40","11,448.90",253.96M,-1.17%
9/21/2022,11637.79,"11,900.37","12,062.29","11,637.19",262.51M,-1.80%
9/20/2022,11851.54,"11,853.43","11,951.10","11,762.07",223.79M,-0.85%
9/19/2022,11953.28,"11,752.43","11,956.15","11,752.43",231.26M,0.77%
9/16/2022,11861.38,"11,779.01","11,874.93","11,711.27",728.23M,-0.55%
9/15/2022,11927.49,"12,035.22","12,152.64","11,868.30",281.72M,-1.71%
9/14/2022,12134.40,"12,092.03","12,170.25","12,017.28",273.02M,0.84%
9/13/2022,12033.62,"12,362.97","12,417.62","12,004.42",361.37M,-5.54%
9/12/2022,12739.72,"12,649.23","12,752.51","12,640.19",225.82M,1.20%
9/9/2022,12588.29,"12,424.15","12,610.04","12,424.15",228.29M,2.17%
9/8/2022,12321.19,"12,139.57","12,372.38","12,120.38",229.80M,0.50%
9/7/2022,12259.39,"12,035.33","12,297.74","12,028.77",237.10M,2.07%
9/6/2022,12011.31,"12,108.11","12,150.94","11,929.67",244.30M,-0.72%
9/2/2022,12098.44,"12,366.57","12,450.89","12,036.40",248.62M,-1.44%
9/1/2022,12274.63,"12,158.00","12,289.77","12,013.56",276.69M,0.02%
8/31/2022,12272.03,"12,447.56","12,500.79","12,268.71",314.46M,-0.57%
8/30/2022,12342.70,"12,562.40","12,571.91","12,240.83",232.04M,-1.13%
8/29/2022,12484.32,"12,487.76","12,593.90","12,440.81",219.33M,-0.96%
8/26/2022,12605.17,"13,129.15","13,172.93","12,605.17",307.91M,-4.10%
8/25/2022,13143.58,"12,984.74","13,146.76","12,951.67",208.27M,1.75%
8/24/2022,12917.86,"12,875.67","12,995.03","12,843.58",177.66M,0.28%
8/23/2022,12881.79,"12,885.28","13,000.58","12,853.05",179.20M,-0.07%
8/22/2022,12890.54,"13,055.20","13,071.81","12,860.38",221.54M,-2.66%
8/19/2022,13242.90,"13,369.78","13,400.77","13,210.98",248.56M,-1.95%
8/18/2022,13505.99,"13,473.78","13,553.28","13,405.74",189.20M,0.26%
8/17/2022,13470.86,"13,499.24","13,591.58","13,390.41",196.22M,-1.21%
8/16/2022,13635.21,"13,619.65","13,720.71","13,508.50",180.15M,-0.23%
8/15/2022,13667.18,"13,529.66","13,685.48","13,525.87",166.16M,0.75%
8/12/2022,13565.87,"13,384.65","13,565.87","13,341.71",208.94M,2.06%
8/11/2022,13291.99,"13,471.03","13,555.02","13,271.76",198.24M,-0.65%
8/10/2022,13378.32,"13,330.66","13,386.85","13,220.83",255.48M,2.85%
8/9/2022,13008.17,"13,063.34","13,094.14","12,945.62",214.75M,-1.15%
8/8/2022,13159.16,"13,223.95","13,394.53","13,104.18",202.32M,-0.37%
8/5/2022,13207.69,"13,110.10","13,286.02","13,070.36",214.90M,-0.78%
