STATE_CODE,GENERATION,STATE
AK,812440.0,Alaska
AK,1645173.0,Alaska
AK,2438640.0,Alaska
AK,-3433.0,Alaska
AK,38187.0,Alaska
AK,885453.0,Alaska
AK,127070.0,Alaska
AK,0.0,Alaska
AL,26906978.0,Alabama
AL,12517703.0,Alabama
AL,53786702.0,Alabama
AL,46036489.0,Alabama
AL,0.0,Alabama
AL,37882.0,Alabama
AL,1193.0,Alabama
AL,25215.0,Alabama
AL,495374.0,Alabama
AL,3147597.0,Alabama
AR,21418874.0,Arkansas
AR,4317708.0,Arkansas
AR,19341567.0,Arkansas
AR,13555684.0,Arkansas
AR,7574.0,Arkansas
AR,92944.0,Arkansas
AR,50792.0,Arkansas
AR,83706.0,Arkansas
AR,462554.0,Arkansas
AR,898734.0,Arkansas
AZ,14300575.0,Arizona
AZ,5817445.0,Arizona
AZ,48186475.0,Arizona
AZ,31629862.0,Arizona
AZ,-7213.0,Arizona
AZ,21795.0,Arizona
AZ,43507.0,Arizona
AZ,90895.0,Arizona
AZ,6686018.0,Arizona
AZ,1600319.0,Arizona
AZ,238857.0,Arizona
CA,294155.0,California
CA,11446695.0,California
CA,14559412.0,California
CA,96490050.0,California
CA,16477366.0,California
CA,609166.0,California
CA,2586878.0,California
CA,1408996.0,California
CA,75344.0,California
CA,-317434.0,California
CA,34259165.0,California
CA,15625513.0,California
CA,3211810.0,California
CO,23602042.0,Colorado
CO,1649708.0,Colorado
CO,14469507.0,Colorado
CO,54927.0,Colorado
CO,80058.0,Colorado
CO,21731.0,Colorado
CO,15638.0,Colorado
CO,-35500.0,Colorado
CO,1755502.0,Colorado
CO,15029263.0,Colorado
CO,94851.0,Colorado
CT,244647.0,Connecticut
CT,323696.0,Connecticut
CT,24545167.0,Connecticut
CT,17216509.0,Connecticut
CT,571201.0,Connecticut
CT,474312.0,Connecticut
CT,95561.0,Connecticut
CT,433.0,Connecticut
CT,289622.0,Connecticut
CT,12758.0,Connecticut
CT,349669.0,Connecticut
DC,136502.0,District of Columbia
DC,55721.0,District of Columbia
DC,36.0,District of Columbia
DC,25982.0,District of Columbia
DE,276730.0,Delaware
DE,3464850.0,Delaware
DE,71043.0,Delaware
DE,141822.0,Delaware
DE,19170.0,Delaware
DE,61512.0,Delaware
DE,4849.0,Delaware
FL,18383152.0,Florida
FL,220793.0,Florida
FL,180602183.0,Florida
FL,28058287.0,Florida
FL,2699142.0,Florida
FL,2100339.0,Florida
FL,137.0,Florida
FL,1176490.0,Florida
FL,9054894.0,Florida
FL,2105621.0,Florida
GA,19092049.0,Georgia
GA,4168040.0,Georgia
GA,58564620.0,Georgia
GA,33951976.0,Georgia
GA,78196.0,Georgia
GA,323769.0,Georgia
GA,309186.0,Georgia
GA,-133728.0,Georgia
GA,4820320.0,Georgia
GA,5356317.0,Georgia
HI,1084555.0,Hawaii
HI,165661.0,Hawaii
HI,108713.0,Hawaii
HI,341636.0,Hawaii
HI,286815.0,Hawaii
HI,0.0,Hawaii
HI,6007061.0,Hawaii
HI,519290.0,Hawaii
HI,674358.0,Hawaii
HI,0.0,Hawaii
IA,22121017.0,Iowa
IA,955378.0,Iowa
IA,5949253.0,Iowa
IA,-13.0,Iowa
IA,199601.0,Iowa
IA,90722.0,Iowa
IA,226807.0,Iowa
IA,36577501.0,Iowa
IA,0.0,Iowa
ID,20622.0,Idaho
ID,81239.0,Idaho
ID,8650090.0,Idaho
ID,4410853.0,Idaho
ID,61911.0,Idaho
ID,108240.0,Idaho
ID,152.0,Idaho
ID,564694.0,Idaho
ID,2657246.0,Idaho
ID,393534.0,Idaho
IL,43513987.0,Illinois
IL,129034.0,Illinois
IL,21076735.0,Illinois
IL,96994458.0,Illinois
IL,246897.0,Illinois
IL,396571.0,Illinois
IL,241516.0,Illinois
IL,42071.0,Illinois
IL,527828.0,Illinois
IL,18690280.0,Illinois
IL,0.0,Illinois
IN,54540952.0,Indiana
IN,256846.0,Indiana
IN,27913428.0,Indiana
IN,489474.0,Indiana
IN,451992.0,Indiana
IN,2211983.0,Indiana
IN,128785.0,Indiana
IN,668656.0,Indiana
IN,7903045.0,Indiana
IN,0.0,Indiana
KS,19396169.0,Kansas
KS,29947.0,Kansas
KS,2897237.0,Kansas
KS,8574732.0,Kansas
KS,4978.0,Kansas
KS,64041.0,Kansas
KS,91666.0,Kansas
KS,61776.0,Kansas
KS,25625410.0,Kansas
KY,49862727.0,Kentucky
KY,5268376.0,Kentucky
KY,14844790.0,Kentucky
KY,70432.0,Kentucky
KY,113405.0,Kentucky
KY,102434.0,Kentucky
KY,43419.0,Kentucky
KY,248676.0,Kentucky
LA,7872953.0,Louisiana
LA,1158909.0,Louisiana
LA,63573928.0,Louisiana
LA,17248674.0,Louisiana
LA,316549.0,Louisiana
LA,59221.0,Louisiana
LA,1721919.0,Louisiana
LA,3894492.0,Louisiana
LA,160102.0,Louisiana
LA,2055220.0,Louisiana
MA,0.0,Massachusetts
MA,818508.0,Massachusetts
MA,14901544.0,Massachusetts
MA,937648.0,Massachusetts
MA,932141.0,Massachusetts
MA,74441.0,Massachusetts
MA,-424247.0,Massachusetts
MA,1776189.0,Massachusetts
MA,217137.0,Massachusetts
MA,133632.0,Massachusetts
MD,5838717.0,Maryland
MD,2120002.0,Maryland
MD,14746409.0,Maryland
MD,14993633.0,Maryland
MD,376222.0,Maryland
MD,371560.0,Maryland
MD,83765.0,Maryland
MD,663083.0,Maryland
MD,517431.0,Maryland
MD,8474.0,Maryland
ME,66617.0,Maine
ME,2969119.0,Maine
ME,2707209.0,Maine
ME,267863.0,Maine
ME,105221.0,Maine
ME,38580.0,Maine
ME,177732.0,Maine
ME,2550351.0,Maine
ME,2070083.0,Maine
MI,37030975.0,Michigan
MI,1533355.0,Michigan
MI,30826392.0,Michigan
MI,34338319.0,Michigan
MI,147990.0,Michigan
MI,964440.0,Michigan
MI,1201752.0,Michigan
MI,1144165.0,Michigan
MI,-715146.0,Michigan
MI,458077.0,Michigan
MI,7809139.0,Michigan
MI,1305925.0,Michigan
MN,15818182.0,Minnesota
MN,897916.0,Minnesota
MN,12261116.0,Minnesota
MN,14122771.0,Minnesota
MN,308901.0,Minnesota
MN,362732.0,Minnesota
MN,37997.0,Minnesota
MN,1922178.0,Minnesota
MN,12940715.0,Minnesota
MN,955517.0,Minnesota
MO,57858269.0,Missouri
MO,1850191.0,Missouri
MO,6789510.0,Missouri
MO,4292433.0,Missouri
MO,0.0,Missouri
MO,80481.0,Missouri
MO,176071.0,Missouri
MO,1487.0,Missouri
MO,119752.0,Missouri
MO,6606805.0,Missouri
MO,40984.0,Missouri
MS,5530685.0,Mississippi
MS,49539381.0,Mississippi
MS,11772058.0,Mississippi
MS,0.0,Mississippi
MS,12657.0,Mississippi
MS,9264.0,Mississippi
MS,432787.0,Mississippi
MS,1416492.0,Mississippi
MT,10564152.0,Montana
MT,9774491.0,Montana
MT,493876.0,Montana
MT,282678.0,Montana
MT,11649.0,Montana
MT,12313.0,Montana
MT,450907.0,Montana
MT,33436.0,Montana
