Unnamed: 0,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
0,2021,1,AK,Total Electric Power Industry,Total,516962.0
35,2021,1,AL,Total Electric Power Industry,Total,12437071.0
69,2021,1,AR,Total Electric Power Industry,Total,5219341.0
109,2021,1,AZ,Total Electric Power Industry,Total,8689647.0
145,2021,1,CA,Total Electric Power Industry,Total,13501478.0
208,2021,1,CO,Total Electric Power Industry,Total,4848930.0
255,2021,1,CT,Total Electric Power Industry,Total,3652864.0
296,2021,1,DC,Total Electric Power Industry,Total,18510.0
307,2021,1,DE,Total Electric Power Industry,Total,113398.0
336,2021,1,FL,Total Electric Power Industry,Total,18106650.0
382,2021,1,GA,Total Electric Power Industry,Total,10419599.0
428,2021,1,HI,Total Electric Power Industry,Total,757304.0
468,2021,1,IA,Total Electric Power Industry,Total,5518491.0
511,2021,1,ID,Total Electric Power Industry,Total,1596907.0
549,2021,1,IL,Total Electric Power Industry,Total,16076958.0
599,2021,1,IN,Total Electric Power Industry,Total,8955451.0
645,2021,1,KS,Total Electric Power Industry,Total,4709056.0
672,2021,1,KY,Total Electric Power Industry,Total,6389250.0
698,2021,1,LA,Total Electric Power Industry,Total,7872511.0
735,2021,1,MA,Total Electric Power Industry,Total,2030333.0
781,2021,1,MD,Total Electric Power Industry,Total,3254950.0
823,2021,1,ME,Total Electric Power Industry,Total,953826.0
865,2021,1,MI,Total Electric Power Industry,Total,10493566.0
923,2021,1,MN,Total Electric Power Industry,Total,4887674.0
973,2021,1,MO,Total Electric Power Industry,Total,6849268.0
1018,2021,1,MS,Total Electric Power Industry,Total,6841518.0
1046,2021,1,MT,Total Electric Power Industry,Total,2563159.0
1081,2021,1,NC,Total Electric Power Industry,Total,11797316.0
1133,2021,1,ND,Total Electric Power Industry,Total,3862790.0
1160,2021,1,NE,Total Electric Power Industry,Total,3145812.0
1193,2021,1,NH,Total Electric Power Industry,Total,1503504.0
1228,2021,1,NJ,Total Electric Power Industry,Total,4595077.0
1274,2021,1,NM,Total Electric Power Industry,Total,3138140.0
1308,2021,1,NV,Total Electric Power Industry,Total,3038470.0
1346,2021,1,NY,Total Electric Power Industry,Total,10862125.0
1401,2021,1,OH,Total Electric Power Industry,Total,10970553.0
1455,2021,1,OK,Total Electric Power Industry,Total,7003517.0
1492,2021,1,OR,Total Electric Power Industry,Total,5882514.0
